rank,tier,gutenberg,title,author,year,downloads_30d,form,source,in_old_bank,old_slug
327,,1906,Erewhon,Samuel Butler,1872,2595,,catalogue-match,,
328,,55283,The Bet (short story),Anton Chekhov,1889,2579,,catalogue-match,,
329,,79405,The Picture in the House,H. P. Lovecraft,1920,2568,,catalogue-match,,
330,,782,The Travels of Sir John Mandeville,John Mandeville,1356,2482,,catalogue-match,,
331,,15263,The Underground Railroad (Still),William Still,1872,2457,,wikidata,,
332,,46853,Le Morte d'Arthur,Thomas Malory,1485,2418,,catalogue-match,,
333,,3796,Rilla of Ingleside,Lucy Maud Montgomery,1921,2388,,wikidata,,
334,,26610,The Trail of the Hawk,Sinclair Lewis,1915,2378,,catalogue-match,,
335,,968,Martin Chuzzlewit,Charles Dickens,1844,2361,novel,wikidata,,
336,,26624,The Road to Oz,L. Frank Baum,1909,2353,novel,wikidata,,
337,,14872,The Tale of Squirrel Nutkin,Beatrix Potter,1903,2324,,wikidata,,
338,,12750,The Stolen Bacillus and Other Incidents,H. G. Wells,1895,2308,,catalogue-match,,
339,,21816,The Confidence-Man,Herman Melville,1857,2301,novel,wikidata,,
340,,917,Barnaby Rudge,Charles Dickens,1840,2281,novel,wikidata,,
341,,1937,The Second Jungle Book,Rudyard Kipling,1895,2255,,old-bank,True,g1937
342,,47935,Fathers and Sons (novel),Ivan Turgenev,1862,2238,,catalogue-match,,
343,,8525,Eve's Diary,Mark Twain,1906,2233,,catalogue-match,,
344,,5343,Rainbow Valley,Lucy Maud Montgomery,1919,2175,,catalogue-match,,
345,,61236,Emily of New Moon,Lucy Maud Montgomery,1923,2145,novel,wikidata,,
346,,30486,Shirley (novel),Charlotte Brontë,1849,2132,novel,wikidata,,
347,,14363,The Worst Journey in the World,Apsley Cherry-Garrard,1922,2100,,wikidata,,
348,,773,Lord Arthur Savile's Crime and Other Stories,Oscar Wilde,1891,2060,short story collection,wikidata,,
349,,172,The Haunted Bookshop,Christopher Morley,1919,2054,novel,wikidata,,
350,,2021,Nostromo,Joseph Conrad,1904,2038,,catalogue-match,,
351,,986,Master and Man (short story),Leo Tolstoy,1895,2012,short story;novella,wikidata,,
352,,22066,The Long Roll,Mary Johnston,,2010,,old-bank,True,g22066
353,,225,At the Back of the North Wind,George MacDonald,1871,1985,,catalogue-match,,
354,,26732,Free Air,Sinclair Lewis,1919,1981,novel,wikidata,,
355,,1245,Night and Day (Woolf novel),Virginia Woolf,1919,1980,novel,wikidata,,
356,,29220,Monday or Tuesday,Virginia Woolf,1921,1942,,catalogue-match,,
357,,1640,Lilith (novel),George MacDonald,1895,1918,novel,wikidata,,
358,,56644,Bulfinch's Mythology,Thomas Bulfinch,1855,1908,,wikidata,,
359,,20008,The Young Duke,Benjamin Disraeli,1831,1884,,catalogue-match,,
360,,8164,My Man Jeeves,P. G. Wodehouse,1919,1883,short story collection,wikidata,,
361,,1951,The Coming Race,Baron Edward Bulwer Lytton Lytton,,1878,,old-bank,True,g1951
362,,42332,The Sorrows of Satan,Marie Corelli,1895,1866,,catalogue-match,,
363,,2609,The Vicomte de Bragelonne,Alexandre Dumas,,1856,,old-bank,True,g2609
364,,2145,Ben-Hur: A Tale of the Christ,Lew Wallace,1880,1849,,catalogue-match,,
365,,1448,Heidi,Johanna Spyri,1880,1840,,catalogue-match,,
366,,32338,Toilers of the Sea,Q535,1866,1838,,translation,,
367,,882,Sketches by Boz,Charles Dickens,1836,1826,,catalogue-match,,
368,,535,Travels with a Donkey in the Cévennes,Robert Louis Stevenson,1879,1781,,catalogue-match,,
369,,2911,Justice (play),John Galsworthy,1922,1751,,catalogue-match,,
370,,15859,The Piazza Tales,Herman Melville,1856,1744,,catalogue-match,,
371,,456,The Door in the Wall (short story),H. G. Wells,1911,1738,,catalogue-match,,
372,,68236,The Colour Out of Space,H. P. Lovecraft,1927,1731,,catalogue-match,,
373,,4274,Wives and Daughters,Elizabeth Gaskell,1864,1727,novel,wikidata,,
374,,59254,The Inimitable Jeeves,P. G. Wodehouse,1923,1723,short story collection,wikidata,,
375,,90,The Son of Tarzan,Edgar Rice Burroughs,1915,1708,,catalogue-match,,
376,,61077,The King of Elfland's Daughter,"Edward Plunkett, 18th Baron of Dunsany",1924,1706,novel,wikidata,,
377,,2429,Lost Face,Jack London,1910,1706,,catalogue-match,,
378,,157,Daddy-Long-Legs (novel),Jean Webster,1912,1693,,catalogue-match,,
379,,914,The Uncommercial Traveller,Charles Dickens,1875,1690,,wikidata,,
380,,79003,Last and First Men,Olaf Stapledon,1930,1668,,catalogue-match,,
381,,6523,The Post Office (play),Rabindranath Tagore,1912,1641,,catalogue-match,,
382,,14323,Là-bas (novel),Joris-Karl Huysmans,1891,1638,,catalogue-match,,
383,,243,The Forged Coupon,Leo Tolstoy,1912,1637,,catalogue-match,,
384,,67090,The Worm Ouroboros,E. R. Eddison,1922,1627,,catalogue-match,,
385,,559,Greenmantle,John Buchan,1916,1626,novel,old-bank,True,g559
386,,447,Maggie: A Girl of the Streets,Stephen Crane,1893,1619,,catalogue-match,,
387,,1840,The Financier,Theodore Dreiser,1912,1613,novel,wikidata,,
388,,1696,The Club of Queer Trades,G. K. Chesterton,1905,1612,short story collection,wikidata,,
389,,106,Jungle Tales of Tarzan,Edgar Rice Burroughs,,1607,,old-bank,True,g106
390,,5342,The Story Girl,L. M. Montgomery,,1599,,old-bank,True,g5342
391,,15137,The Tale of Mrs. Tiggy-Winkle,Beatrix Potter,1905,1593,,wikidata,,
392,,62940,Mrs. Spring Fragrance,Sui Sin Far,1912,1578,,catalogue-match,,
393,,498,Rebecca of Sunnybrook Farm,Kate Douglas Smith Wiggin,1903,1577,novel,old-bank,True,g498
394,,60093,Cane (novel),Jean Toomer,1923,1575,novel,wikidata,,
395,,1480,Tom Brown's School Days,Thomas Hughes,1857,1575,,catalogue-match,,
396,,13015,Tales of Old Japan,"Algernon Freeman-Mitford, 1st Baron Redesdale",1871,1571,,catalogue-match,,
397,,27085,Rootabaga Stories,Carl Sandburg,1922,1558,,catalogue-match,,
398,,22354,The Adventures of Maya the Bee,Waldemar Bonsels,1912,1553,,catalogue-match,,
399,,91,Tom Sawyer Abroad,Mark Twain,,1552,,old-bank,True,g91
400,,1197,Taras Bulba,Nikolai Gogol,1835,1545,,catalogue-match,,
401,,3499,Jo's Boys,Louisa May Alcott,1886,1542,,wikidata,,
402,,26526,Stingaree (novel),Ernest William Hornung,1905,1541,,catalogue-match,,
403,,2892,Irish Fairy Tales,James Stephens,1920,1539,,wikidata,,
404,,3031,"Lobo, the King of Currumpaw",Ernest Thompson Seton,1898,1528,short story,wikidata,,
405,,3261,News from Nowhere,William Morris,1890,1522,novel,wikidata,,
406,,8395,The Gods of Pegāna,"Edward Plunkett, 18th Baron of Dunsany",1905,1499,short story,wikidata,,
407,,56528,Germinal (novel),Émile Zola,1885,1496,,catalogue-match,,
408,,17731,"The Nigger of the ""Narcissus""",Joseph Conrad,1897,1485,novel;novella,wikidata,,
409,,14868,The Tailor of Gloucester,Beatrix Potter,1903,1481,,wikidata,,
410,,6373,The Luck of Roaring Camp,Bret Harte,1868,1457,,catalogue-match,,
411,,770,The Story of the Treasure Seekers,E. Nesbit,1899,1454,novel,old-bank,True,g770
412,,367,The Country of the Pointed Firs,Sarah Orne Jewett,1896,1451,novel,wikidata,,
413,,1028,The Professor (novel),Charlotte Brontë,1857,1448,novel,wikidata,,
414,,620,Sylvie and Bruno,Lewis Carroll,1889,1446,,catalogue-match,,
415,,2710,Louise de la Vallière,Alexandre Dumas,,1445,,old-bank,True,g2710
416,,1013,The First Men in the Moon,H. G. Wells,1901,1441,,catalogue-match,,
417,,1202,Tales of Unrest,Joseph Conrad,1898,1437,short story collection,wikidata,,
418,,5265,The Ball and the Cross,G. K. Chesterton,1909,1437,novel,wikidata,,
419,,6695,Tales of the Jazz Age,F. Scott Fitzgerald,1922,1435,short story collection,wikidata,,
420,,2804,Rose in Bloom,Louisa May Alcott,1876,1433,novel,wikidata,,
421,,517,The Emerald City of Oz,L. Frank Baum,1910,1429,novel,wikidata,,
422,,8606,The Blue Bird (play),Maurice Maeterlinck,1908,1426,,catalogue-match,,
423,,26977,The Old Tobacco Shop,William Bowen,1921,1423,,catalogue-match,,
424,,65974,"Carry On, Jeeves",P. G. Wodehouse,1925,1423,,catalogue-match,,
425,,154,The Rise of Silas Lapham,William Dean Howells,1885,1414,novel,wikidata,,
426,,25519,Little Wizard Stories of Oz,L. Frank Baum,1914,1413,,catalogue-match,,
427,,27384,The Regent's Daughter,Alexandre Dumas,1845,1411,,catalogue-match,,
428,,2787,An Old-Fashioned Girl,Louisa May Alcott,1869,1402,,catalogue-match,,
429,,6406,The Monastery: A Romance,Walter Scott,1820,1395,novel,wikidata,,
430,,1178,Constitution of the Lacedaemonians,Xenophon,-40,1394,prose,wikidata,,
431,,1441,The Story of an African Farm,Olive Schreiner,1883,1387,novel,wikidata,,
432,,1438,No Name (novel),Wilkie Collins,1862,1385,,wikidata,,
433,,1026,The Diary of a Nobody,George Grossmith & Weedon Grossmith,1892,1385,,catalogue-match,,
434,,30123,Micromégas,Voltaire,1752,1381,,catalogue-match,,
435,,6782,The Robbers,Friedrich Schiller,1782,1380,,catalogue-match,,
436,,79424,The Libertine (book),Charlotte Dacre,1807,1379,,catalogue-match,,
437,,4368,Flappers and Philosophers,F. Scott Fitzgerald,1920,1369,short story collection,wikidata,,
438,,3023,"Faust, Part One",Johann Wolfgang von Goethe,1808,1368,,catalogue-match,,
439,,832,Robin Hood,J. Walker McSpadden,,1367,,old-bank,True,g832
440,,27884,Niels Klim's Underground Travels,Ludvig Holberg,1741,1359,novel,wikidata,,
441,,513,"The Snow-Image, and Other Twice-Told Tales",Nathaniel Hawthorne,1852,1355,,catalogue-match,,
442,,13468,The New Jerusalem (Chesterton book),G. K. Chesterton,1920,1353,,wikidata,,
443,,3608,The Ragged-Trousered Philanthropists,Robert Tressell,1914,1348,novel,wikidata,,
444,,5348,Ragged Dick,Horatio Alger,1868,1346,novel,wikidata,,
445,,1162,The Star Rover,Jack London,1915,1337,novel,wikidata,,
446,,23489,Godfrey Morgan,Jules Verne,1882,1333,,catalogue-match,,
447,,20004,Tancred (novel),Benjamin Disraeli,1847,1328,,catalogue-match,,
448,,85,The Beasts of Tarzan,Edgar Rice Burroughs,,1327,,old-bank,True,g85
449,,3836,The Swiss Family Robinson,Johann David Wyss,1812,1306,,catalogue-match,,
450,,837,The Story of the Amulet,E. Nesbit,1906,1303,novel,old-bank,True,g837
451,,47356,Studies on Homer and the Homeric Age,William Ewart Gladstone,1858,1298,,catalogue-match,,
452,,21640,"A Bid for Fortune; Or, Doctor Nikola's Vendetta",Guy Boothby,1895,1297,,catalogue-match,,
453,,1213,The Man That Corrupted Hadleyburg,Mark Twain,1899,1297,,catalogue-match,,
454,,54672,The Indiscreet Jewels,Denis Diderot,1748,1293,novel,wikidata,,
455,,1860,Westward Ho! (novel),Charles Kingsley,1855,1288,novel,wikidata,,
456,,1424,Castle Rackrent,Maria Edgeworth,1800,1286,novel,wikidata,,
457,,34970,"Pierre; or, The Ambiguities",Herman Melville,1852,1285,,catalogue-match,,
458,,11323,"Things as They Are; or, The Adventures of Caleb Williams",William Godwin,1794,1282,novel,wikidata,,
459,,37775,Etidorhpa,John Uri Lloyd,1895,1279,,catalogue-match,,
460,,17034,English Fairy Tales,Flora Annie Steel,1918,1270,,catalogue-match,,
461,,2480,Under Western Eyes (novel),Joseph Conrad,1911,1265,novel,wikidata,,
462,,92,Tarzan and the Jewels of Opar,Edgar Rice Burroughs,1916,1265,,catalogue-match,,
463,,30852,The Tin Woodman of Oz,L. Frank Baum,1918,1264,novel,wikidata,,
464,,35587,The Headless Horseman (novel),Thomas Mayne Reid,1865,1262,,catalogue-match,,
465,,32242,A Wonder-Book for Girls and Boys,Nathaniel Hawthorne,1851,1256,short story collection,wikidata,,
466,,402,Penrod,Booth Tarkington,1914,1252,novel,old-bank,True,g402
467,,25919,Miss Mapp,Edward Frederic Benson,1922,1249,,catalogue-match,,
468,,471,The Bride of Lammermoor,Walter Scott,1819,1248,,catalogue-match,,
469,,27690,Nobody's Girl (novel),Hector Malot,1893,1227,novel,wikidata,,
470,,20869,The Skylark of Space,Edward Elmer Smith & Lee Hawkins Garby,1928,1226,,catalogue-match,,
471,,3760,Sybil (novel),Benjamin Disraeli,1845,1223,,catalogue-match,,
472,,4084,The Adventures of Peregrine Pickle,Tobias Smollett,1751,1222,novel,wikidata,,
473,,2084,The Way of All Flesh,Samuel Butler,1903,1218,novel,wikidata,,
474,,47312,The Mysteries of London,George W. M. Reynolds,1845,1210,,catalogue-match,,
475,,13514,Tales of a Traveller,Washington Irving,1824,1206,,catalogue-match,,
476,,711,Allan Quatermain,H. Rider Haggard,,1205,,old-bank,True,g711
477,,3045,The Last Chronicle of Barset,Anthony Trollope,1866,1205,novel,wikidata,,
478,,2870,Washington Square (novel),Henry James,1880,1204,,catalogue-match,,
479,,14220,The Tale of the Flopsy Bunnies,Beatrix Potter,1909,1202,,wikidata,,
480,,38241,Uncle's Dream,Fyodor Dostoyevsky,1859,1200,,catalogue-match,,
481,,39402,Jeremiah (play),Stefan Zweig,1917,1200,,catalogue-match,,
482,,27711,Germinie Lacerteux,Edmond de Goncourt & Jules de Goncourt,1886,1194,,catalogue-match,,
483,,76513,Billy Budd,Herman Melville,1924,1191,,catalogue-match,,
484,,19500,Can You Forgive Her?,Anthony Trollope,1864,1190,novel,wikidata,,
485,,45264,The Tale of Two Bad Mice,Beatrix Potter,1904,1189,,catalogue-match,,
486,,111,Freckles (novel),Gene Stratton-Porter,1904,1186,,catalogue-match,,
487,,60067,Leave It to Psmith,P. G. Wodehouse,1923,1184,novel,wikidata,,
488,,7381,The Eustace Diamonds,Anthony Trollope,1872,1179,novel,wikidata,,
489,,54700,Oblomov,Ivan Goncharov,1859,1166,,catalogue-match,,
490,,13159,Illusions perdues,Honoré de Balzac,1837,1164,novel,wikidata,,
491,,1826,Sarrasine,Honoré de Balzac,1831,1163,,catalogue-match,,
492,,344,The Merry Men and Other Tales and Fables,Robert Louis Stevenson,1887,1159,short story collection,wikidata,,
493,,1944,The Witch (short story),Anton Chekhov,1886,1159,,catalogue-match,,
494,,29257,The Book of Khalid,Ameen Fares Rihani,1911,1158,,wikidata,,
495,,22246,The Upper Berth,Francis Marion Crawford,1886,1158,,catalogue-match,,
496,,15493,The Lancashire Witches,William Harrison Ainsworth,1848,1157,,catalogue-match,,
497,,26719,An Anarchist Woman,Hutchins Hapgood,1909,1155,,catalogue-match,,
498,,1154,The Voyages of Doctor Dolittle,Hugh Lofting,1922,1153,novel,old-bank,True,g1154
499,,24750,Mizora,Mary E. Bradley Lane,1880,1150,,catalogue-match,,
500,,13416,The Darling (short story),Anton Chekhov,1899,1149,short story,wikidata,,
501,,30344,Roxana: The Fortunate Mistress,Daniel Defoe,1724,1141,novel,wikidata,,
502,,985,Father Sergius,Leo Tolstoy,1911,1138,,catalogue-match,,
503,,701,The King of the Golden River,John Ruskin,1842,1136,novel;short story;novella,wikidata,,
504,,5340,Further Chronicles of Avonlea,Lucy Maud Montgomery,1920,1134,,catalogue-match,,
505,,93,"Tom Sawyer, Detective",Mark Twain,1896,1132,novel,old-bank,True,g93
506,,2845,Sir Nigel,Arthur Conan Doyle,,1132,,old-bank,True,g2845
507,,1565,The Last Days of Pompeii,Edward Bulwer-Lytton,1834,1132,novel,wikidata,,
508,,4737,A Tale of a Tub,Jonathan Swift,1704,1126,novel,wikidata,,
509,,697,The Light Princess,George MacDonald,1864,1123,,catalogue-match,,
510,,5140,He Knew He Was Right,Anthony Trollope,1869,1118,,catalogue-match,,
511,,2726,Eight Cousins,Louisa May Alcott,1875,1116,novel,wikidata,,
512,,55307,The Black Monk,Anton Chekhov,1894,1113,,catalogue-match,,
513,,43092,The Dead Secret,Wilkie Collins,1857,1104,,catalogue-match,,
514,,18640,Phineas Redux,Anthony Trollope,1874,1103,novel,wikidata,,
515,,72961,Buddenbrooks,Thomas Mann,1901,1103,,catalogue-match,,
516,,5247,The Old Wives' Tale,Arnold Bennett,1908,1097,novel,wikidata,,
517,,4313,The Odd Women,George Gissing,1893,1091,novel,wikidata,,
518,,46597,In Search of the Castaways,Jules Verne,1864,1083,,catalogue-match,,
519,,765,The Moon Pool,Abraham Merritt,,1082,,old-bank,True,g765
520,,1449,The Valley of the Moon (novel),Jack London,1913,1081,novel,wikidata,,
521,,395,The Holy War,John Bunyan,1682,1081,,translation,,
522,,482,The Woodlanders,Thomas Hardy,1887,1081,,catalogue-match,,
523,,29413,The Adventures of Captain Hatteras,Jules Verne,1864,1079,,catalogue-match,,
524,,9840,Vivian Grey,Benjamin Disraeli,1826,1075,novel,wikidata,,
525,,7477,The Book of Wonder,"Edward Plunkett, 18th Baron of Dunsany",1912,1072,short story,wikidata,,
526,,1557,Men of Iron,Howard Pyle,,1071,,old-bank,True,g1557
527,,520,The Life and Adventures of Santa Claus,L. Frank Baum,1912,1067,,old-bank,True,g520
528,,619,The Warden,Anthony Trollope,1855,1067,,catalogue-match,,
529,,42455,The Mystery of the Sea,Bram Stoker,1902,1065,novel,wikidata,,
530,,1709,New Grub Street,George Gissing,1891,1063,novel,wikidata,,
531,,40882,"Felix Holt, the Radical",George Eliot,1866,1060,,catalogue-match,,
532,,96,The Monster Men,Edgar Rice Burroughs,1929,1058,novel,old-bank,True,g96
533,,2346,The Adventure of the Bruce-Partington Plans,Arthur Conan Doyle,1908,1057,novelette,old-bank,True,g2346
534,,4047,The Leavenworth Case,Anna Katharine Green,,1053,,old-bank,True,g4047
535,,318,John Barleycorn (novel),Jack London,1913,1052,,catalogue-match,,
536,,68229,All the Sad Young Men,F. Scott Fitzgerald,1926,1050,,catalogue-match,,
537,,1085,The Life of John Sterling,Thomas Carlyle,1851,1049,,catalogue-match,,
538,,2786,Jack and Jill: A Village Story,Louisa May Alcott,1880,1046,,wikidata,,
539,,76911,Good-Bye to All That,Robert Graves,1929,1044,,catalogue-match,,
540,,25876,The House with the Green Shutters,George Douglas Brown,1901,1042,novel,wikidata,,
541,,4540,In His Steps,Charles Monroe Sheldon,1896,1037,novel,wikidata,,
542,,29756,The Cat of Bubastes,G. A. Henty,1888,1034,,catalogue-match,,
543,,52468,The Lower Depths,Maxim Gorky,1903,1034,,catalogue-match,,
544,,423,Round the Red Lamp,Arthur Conan Doyle,1894,1030,short story collection,wikidata,,
545,,4090,From Ritual to Romance,Q3808161,1920,1030,,wikidata,,
546,,1842,Michael Strogoff,Jules Verne,1876,1028,,catalogue-match,,
547,,26854,The Trembling of a Leaf,William Somerset Maugham,1921,1022,,catalogue-match,,
548,,4761,The Cossacks (novel),Leo Tolstoy,1863,1021,,catalogue-match,,
549,,76599,My Past and Thoughts,Alexander Herzen,1861,1021,,catalogue-match,,
550,,329,Island Nights' Entertainments,Robert Louis Stevenson,1893,1019,short story collection,wikidata,,
551,,6424,A Modern Utopia,H. G. Wells,1905,1015,novel,wikidata,,
552,,7371,A Sicilian Romance,Ann Radcliffe,1790,1013,novel,wikidata,,
553,,2860,Framley Parsonage,Anthony Trollope,1861,1013,novel,wikidata,,
554,,561,The Further Adventures of Robinson Crusoe,Daniel Defoe,1719,1012,,old-bank,True,g561
555,,346,The Troll Garden,Willa Cather,1905,1012,,catalogue-match,,
556,,79489,The Grandmothers,Glenway Wescott,1927,1008,,catalogue-match,,
557,,17089,The Tale of Mrs. Tittlemouse,Beatrix Potter,1910,1002,,wikidata,,
558,,36028,Royal Highness (novel),Thomas Mann,1909,1000,,catalogue-match,,
559,,37027,With Fire and Sword,Henryk Sienkiewicz,1884,996,,catalogue-match,,
560,,3457,The Man of the Forest,Zane Grey,,995,,old-bank,True,g3457
561,,2347,The Adventure of the Dying Detective,Arthur Conan Doyle,1913,995,short story,old-bank,True,g2347
562,,15575,The Tale of Samuel Whiskers or The Roly-Poly Pudding,Beatrix Potter,1908,995,,wikidata,,
563,,678,The Cricket on the Hearth,Charles Dickens,1845,994,novella,wikidata,,
564,,11696,The Food of the Gods and How It Came to Earth,H. G. Wells,1904,992,novel,wikidata,,
565,,3166,Doctor Thorne,Anthony Trollope,1858,992,,catalogue-match,,
566,,419,The Magic of Oz,L. Frank Baum,1919,991,novel,old-bank,True,g419
567,,285,The Lost Continent: The Story of Atlantis,C. J. Cutcliffe Hyne,1900,990,novel,wikidata,,
568,,653,The Chimes,Charles Dickens,1844,990,,catalogue-match,,
569,,1190,The Jolly Corner,Henry James,1908,988,short story,wikidata,,
570,,73727,Metropolis (novel),Thea von Harbou,1926,987,,catalogue-match,,
571,,3179,The American Claimant,Mark Twain,1892,986,novel,wikidata,,
572,,29042,A Tangled Tale,Lewis Carroll,1885,984,,catalogue-match,,
573,,2502,Chitra (play),Rabindranath Tagore,1914,981,,catalogue-match,,
574,,59239,The Flying Inn,G. K. Chesterton,1914,978,novel,wikidata,,
575,,179,The Europeans,Henry James,1899,978,,catalogue-match,,
576,,4770,Work: A Story of Experience,Louisa May Alcott,1873,977,novel,wikidata,,
577,,709,The Princess and Curdie,George MacDonald,1883,977,,catalogue-match,,
578,,1848,Montezuma's Daughter,H. Rider Haggard,1893,976,novel,old-bank,True,g1848
579,,420,Dorothy and the Wizard in Oz,L. Frank Baum,1908,975,novel,old-bank,True,g420
580,,5174,The Holy Flower,H. Rider Haggard,1915,974,novel,wikidata,,
581,,7166,The Home and the World,Rabindranath Tagore,1916,974,novel,wikidata,,
582,,17780,Scenes of Clerical Life,George Eliot,1857,973,,catalogue-match,,
583,,2662,Under the Greenwood Tree,Thomas Hardy,1872,973,,catalogue-match,,
584,,605,Pellucidar,Edgar Rice Burroughs,1915,971,novel,old-bank,True,g605
585,,2158,The Prime Minister (novel),Anthony Trollope,1875,970,novel,wikidata,,
586,,46709,Memoirs of Joseph Grimaldi,Charles Dickens,1838,969,novel,wikidata,,
587,,32596,The Revolt of the Angels,Anatole France,1914,969,,catalogue-match,,
588,,62254,Fabiola (novel),Nicholas Patrick Stephen Wiseman,1854,965,novel,wikidata,,
589,,25014,Bouvard and Pécuchet,Gustave Flaubert,1881,965,,catalogue-match,,
590,,2020,Tarzan the Terrible,Edgar Rice Burroughs,,961,,old-bank,True,g2020
591,,50054,The Female Quixote,Charlotte Lennox,1752,959,,catalogue-match,,
592,,7079,The Companions of Jehu,Alexandre Dumas,,957,,old-bank,True,g7079
593,,21659,Some Everyday Folk and Dawn,Miles Franklin,1909,957,,catalogue-match,,
594,,3629,The Titan (novel),Theodore Dreiser,1914,956,novel,wikidata,,
595,,27537,Sentimental Education,Gustave Flaubert,1869,954,,catalogue-match,,
596,,1267,Kai Lung's Golden Hours,Ernest Bramah,1922,952,novel,wikidata,,
597,,23000,Orley Farm (novel),Anthony Trollope,1862,951,novel,wikidata,,
598,,8123,The Virginians,William Makepeace Thackeray,1857,950,,catalogue-match,,
599,,2721,Eric Brighteyes,H. Rider Haggard,1890,949,novel,wikidata,,
600,,8183,Time and the Gods,"Edward Plunkett, 18th Baron of Dunsany",1906,948,short story collection,wikidata,,
